"pk_SubscribedKPIID","fk_MainKPIID","fk_ParentKPIID","SubscribedFilters","additionalFilters","finalFilters"
572,1631,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
573,1633,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
574,1647,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
575,1649,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
576,1650,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
577,1651,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
578,1652,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
579,1653,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
580,1654,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
581,1655,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
582,1656,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
583,1657,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
584,1658,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
585,1659,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
586,1660,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
587,1661,,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}",,"{""AND"":[{""field"":""1=1"",""encloseField"":false,""value"":[]}]}"
